# tcp-scan-services -- TCP port number to service name map file for tcp-scan
#
# This file contains the TCP port number to service name mapping file that
# is used by tcp-scan to display TCP service names.
#
# The format of this file is the same as that used for the services file used
# by Unix, Linux and Windows, which is typically located in /etc/services or
# %WINDIR%\system32\drivers\etc\services.
#
kjtsiteserver	1339/tcp
naap	1340/tcp
qubes	1341/tcp
esbroker	1342/tcp
re101	1343/tcp
icap	1344/tcp
vpjp	1345/tcp
alta-ana-lm	1346/tcp
bbn-mmc	1347/tcp
bbn-mmx	1348/tcp
sbook	1349/tcp
editbench	1350/tcp
equationbuilder	1351/tcp
lotusnote	1352/tcp
relief	1353/tcp
XSIP-network	1354/tcp
intuitive-edge	1355/tcp
cuillamartin	1356/tcp
pegboard	1357/tcp
connlcli	1358/tcp
ftsrv	1359/tcp
mimer	1360/tcp
linx	1361/tcp
timeflies	1362/tcp
ndm-requester	1363/tcp
ndm-server	1364/tcp
adapt-sna	1365/tcp
netware-csp	1366/tcp
dcs	1367/tcp
screencast	1368/tcp
gv-us	1369/tcp
us-gv	1370/tcp
fc-cli	1371/tcp
fc-ser	1372/tcp
chromagrafx	1373/tcp
molly	1374/tcp
bytex	1375/tcp
ibm-pps	1376/tcp
cichlid	1377/tcp
elan	1378/tcp
dbreporter	1379/tcp
telesis-licman	1380/tcp
apple-licman	1381/tcp
udt_os	1382/tcp
gwha	1383/tcp
os-licman	1384/tcp
atex_elmd	1385/tcp
checksum	1386/tcp
cadsi-lm	1387/tcp
objective-dbc	1388/tcp
iclpv-dm	1389/tcp
iclpv-sc	1390/tcp
iclpv-sas	1391/tcp
iclpv-pm	1392/tcp
iclpv-nls	1393/tcp
iclpv-nlc	1394/tcp
iclpv-wsm	1395/tcp
dvl-activemail	1396/tcp
audio-activmail	1397/tcp
video-activmail	1398/tcp
cadkey-licman	1399/tcp
cadkey-tablet	1400/tcp
goldleaf-licman	1401/tcp
prm-sm-np	1402/tcp
prm-nm-np	1403/tcp
igi-lm	1404/tcp
ibm-res	1405/tcp
netlabs-lm	1406/tcp
dbsa-lm	1407/tcp
sophia-lm	1408/tcp
here-lm	1409/tcp
hiq	1410/tcp
af	1411/tcp
innosys	1412/tcp
innosys-acl	1413/tcp
ibm-mqseries	1414/tcp
dbstar	1415/tcp
novell-lu6.2	1416/tcp
timbuktu-srv1	1417/tcp
timbuktu-srv2	1418/tcp
timbuktu-srv3	1419/tcp
timbuktu-srv4	1420/tcp
gandalf-lm	1421/tcp
autodesk-lm	1422/tcp
essbase	1423/tcp
hybrid	1424/tcp
zion-lm	1425/tcp
sais	1426/tcp
mloadd	1427/tcp
informatik-lm	1428/tcp
nms	1429/tcp
tpdu	1430/tcp
rgtp	1431/tcp
blueberry-lm	1432/tcp
ms-sql-s	1433/tcp
ms-sql-m	1434/tcp
ibm-cics	1435/tcp
saism	1436/tcp
tabula	1437/tcp
eicon-server	1438/tcp
eicon-x25	1439/tcp
eicon-slp	1440/tcp
cadis-1	1441/tcp
cadis-2	1442/tcp
ies-lm	1443/tcp
marcam-lm	1444/tcp
proxima-lm	1445/tcp
ora-lm	1446/tcp
apri-lm	1447/tcp
oc-lm	1448/tcp
peport	1449/tcp
dwf	1450/tcp
infoman	1451/tcp
gtegsc-lm	1452/tcp
genie-lm	1453/tcp
interhdl_elmd	1454/tcp
esl-lm	1455/tcp
dca	1456/tcp
valisys-lm	1457/tcp
nrcabq-lm	1458/tcp
proshare1	1459/tcp
