Stage;TLD;Flags;Registry;"Registry Group";Backend;Start;End;Description
SR;center;;"Tin Mill, LLC";"Donuts Inc.";"Rightside Registry";2014-01-07T16:00:00Z;2014-03-08T15:59:59Z;
SR;computer;;"Pine Mill, LLC";"Donuts Inc.";"Rightside Registry";2014-01-07T16:00:00Z;2014-03-08T15:59:59Z;
SR;management;;"John Goodbye, LLC";"Donuts Inc.";"Rightside Registry";2014-01-07T16:00:00Z;2014-03-08T15:59:59Z;
SR;systems;;"Dash Cypress, LLC";"Donuts Inc.";"Rightside Registry";2014-01-07T16:00:00Z;2014-03-08T15:59:59Z;
SR;builders;;"Atomic Madison, LLC";"Donuts Inc.";"Rightside Registry";2014-01-14T16:00:00Z;2014-03-15T15:59:59Z;
SR;email;;"Spring Madison, LLC";"Donuts Inc.";"Rightside Registry";2014-01-14T16:00:00Z;2014-03-15T15:59:59Z;
SR;onl;;"I-REGISTRY Ltd., Niederlassung Deutschland";;"Afilias Limited";2014-01-14T16:00:00Z;2014-03-15T16:00:00Z;
SR;solutions;;"Silver Cover, LLC";"Donuts Inc.";"Rightside Registry";2014-01-14T16:00:00Z;2014-03-15T15:59:59Z;
SR;support;;"Grand Orchard, LLC";"Donuts Inc.";"Rightside Registry";2014-01-14T16:00:00Z;2014-03-15T15:59:59Z;
SR;training;;"Wild Willow, LLC";"Donuts Inc.";"Rightside Registry";2014-01-14T16:00:00Z;2014-03-15T15:59:59Z;
LR;xn--q9jyb4c;;"Charleston Road Registry Inc.";;"Google Inc.";2014-01-15T00:00:00Z;2014-02-26T19:00:00Z;
SR;buzz;;"DOTSTRATEGY CO.";;"Neustar Inc.";2014-01-15T15:01:00Z;2014-03-18T15:00:00Z;
SR;kiwi;;"DOT KIWI LIMITED";;"Canadian Internet Registration Authority (CIRA)";2014-01-16T00:00:00Z;2014-03-17T00:00:00Z;
SR;xn--fiq228c5hs;;"TLD REGISTRY LIMITED";;"Beijing Tele-info Network Technology Co., Ltd.";2014-01-16T00:00:00Z;2014-03-17T13:00:00Z;
SR;xn--3ds443g;;"TLD REGISTRY LIMITED";;"Beijing Tele-info Network Technology Co., Ltd.";2014-01-16T00:00:00Z;2014-03-17T13:00:00Z;
LR;xn--80asehdb;;"CORE Association";;"CORE Association";2014-01-16T11:59:00Z;2014-03-19T11:59:00Z;
LR;xn--80aswg;;"CORE Association";;"CORE Association";2014-01-16T11:59:00Z;2014-03-19T11:59:00Z;
SR;xn--80asehdb;;"CORE Association";;"CORE Association";2014-01-16T13:00:00Z;2014-03-18T13:00:00Z;
SR;xn--80aswg;;"CORE Association";;"CORE Association";2014-01-16T13:00:00Z;2014-03-18T13:00:00Z;
SR;ruhr;FCFS;"regiodot GmbH & Co. KG";;"Knipp Medien und Kommunikation GmbH";2014-01-21T00:00:00Z;2014-02-20T23:59:59Z;
SR;camp;;"Delta Dynamite, LLC";"Donuts Inc.";"Rightside Registry";2014-01-21T16:00:00Z;2014-03-22T15:59:59Z;
SR;education;;"Brice Way, LLC";"Donuts Inc.";"Rightside Registry";2014-01-21T16:00:00Z;2014-03-22T15:59:59Z;
SR;glass;;"Black Cover, LLC";"Donuts Inc.";"Rightside Registry";2014-01-21T16:00:00Z;2014-03-22T15:59:59Z;
SR;institute;;"Outer Maple, LLC";"Donuts Inc.";"Rightside Registry";2014-01-21T16:00:00Z;2014-03-22T15:59:59Z;
SR;repair;;"Lone Sunset, LLC";"Donuts Inc.";"Rightside Registry";2014-01-21T16:00:00Z;2014-03-22T15:59:59Z;
SR;build;;"Plan Bee LLC";;"ARI Registry Services";2014-01-27T15:00:00Z;2014-03-28T15:00:00Z;
SR;gift;;"Uniregistry, Corp.";;"Uniregistry Inc.";2014-01-27T16:00:00Z;2014-03-28T16:00:00Z;
SR;guitars;;"Uniregistry, Corp.";;"Uniregistry Inc.";2014-01-27T16:00:00Z;2014-03-28T16:00:00Z;
SR;link;;"Uniregistry, Corp.";;"Uniregistry Inc.";2014-01-27T16:00:00Z;2014-03-28T16:00:00Z;
SR;pics;;"Uniregistry, Corp.";;"Uniregistry Inc.";2014-01-27T16:00:00Z;2014-03-28T16:00:00Z;
SR;club;;"CLUB Domains LLC";;"Neustar Inc.";2014-01-28T15:00:00Z;2014-03-29T15:00:00Z;
SR;coffee;;"Trixy Cover, LLC";"Donuts Inc.";"Rightside Registry";2014-01-28T16:00:00Z;2014-03-29T15:59:59Z;
SR;florist;;"Half Cypress, LLC";"Donuts Inc.";"Rightside Registry";2014-01-28T16:00:00Z;2014-03-29T15:59:59Z;
SR;house;;"Sugar Park, LLC";"Donuts Inc.";"Rightside Registry";2014-01-28T16:00:00Z;2014-03-29T15:59:59Z;
SR;international;;"Wild Way, LLC";"Donuts Inc.";"Rightside Registry";2014-01-28T16:00:00Z;2014-03-29T15:59:59Z;
SR;photo;;"Uniregistry, Corp.";;"Uniregistry Inc.";2014-01-28T16:00:00Z;2014-03-29T16:00:00Z;
SR;solar;;"Ruby Town, LLC";"Donuts Inc.";"Rightside Registry";2014-01-28T16:00:00Z;2014-03-29T15:59:59Z;
EA;bike;;"Grand Hollow, LLC";"Donuts Inc.";"Rightside Registry";2014-01-29T16:00:00Z;2014-02-05T15:59:59Z;
EA;clothing;;"Steel Lake, LLC";"Donuts Inc.";"Rightside Registry";2014-01-29T16:00:00Z;2014-02-05T15:59:59Z;
EA;guru;;"Pioneer Cypress, LLC";"Donuts Inc.";"Rightside Registry";2014-01-29T16:00:00Z;2014-02-05T15:59:59Z;
EA;holdings;;"John Madison, LLC";"Donuts Inc.";"Rightside Registry";2014-01-29T16:00:00Z;2014-02-05T15:59:59Z;
EA;plumbing;;"Spring Tigers, LLC";"Donuts Inc.";"Rightside Registry";2014-01-29T16:00:00Z;2014-02-05T15:59:59Z;
EA;singles;;"Fern Madison, LLC";"Donuts Inc.";"Rightside Registry";2014-01-29T16:00:00Z;2014-02-05T15:59:59Z;
EA;ventures;;"Binky Lake, LLC";"Donuts Inc.";"Rightside Registry";2014-01-29T16:00:00Z;2014-02-05T15:59:59Z;
SR;holiday;;"Goose Woods, LLC";"Donuts Inc.";"Rightside Registry";2014-02-04T16:00:00Z;2014-04-05T15:59:59Z;
SR;marketing;;"Fern Pass, LLC";"Donuts Inc.";"Rightside Registry";2014-02-04T16:00:00Z;2014-04-05T15:59:59Z;
SR;luxury;;"Luxury Partners LLC";;"ARI Registry Services";2014-02-05T15:00:00Z;2014-04-06T15:00:00Z;
GA;bike;;"Grand Hollow, LLC";"Donuts Inc.";"Rightside Registry";2014-02-05T16:00:00Z;2099-12-31T23:59:59Z;
EA;camera;;"Atomic Maple, LLC";"Donuts Inc.";"Rightside Registry";2014-02-05T16:00:00Z;2014-02-12T15:59:59Z;
GA;clothing;;"Steel Lake, LLC";"Donuts Inc.";"Rightside Registry";2014-02-05T16:00:00Z;2099-12-31T23:59:59Z;
EA;equipment;;"Corn Station, LLC";"Donuts Inc.";"Rightside Registry";2014-02-05T16:00:00Z;2014-02-12T15:59:59Z;
EA;estate;;"Trixy Park, LLC";"Donuts Inc.";"Rightside Registry";2014-02-05T16:00:00Z;2014-02-12T15:59:59Z;
EA;gallery;;"Sugar House, LLC";"Donuts Inc.";"Rightside Registry";2014-02-05T16:00:00Z;2014-02-12T15:59:59Z;
EA;graphics;;"Over Madison, LLC";"Donuts Inc.";"Rightside Registry";2014-02-05T16:00:00Z;2014-02-12T15:59:59Z;
GA;guru;;"Pioneer Cypress, LLC";"Donuts Inc.";"Rightside Registry";2014-02-05T16:00:00Z;2099-12-31T23:59:59Z;
GA;holdings;;"John Madison, LLC";"Donuts Inc.";"Rightside Registry";2014-02-05T16:00:00Z;2099-12-31T23:59:59Z;
EA;lighting;;"John McCook, LLC";"Donuts Inc.";"Rightside Registry";2014-02-05T16:00:00Z;2014-02-12T15:59:59Z;
EA;photography;;"Sugar Glen, LLC";"Donuts Inc.";"Rightside Registry";2014-02-05T16:00:00Z;2014-02-12T15:59:59Z;
GA;plumbing;;"Spring Tigers, LLC";"Donuts Inc.";"Rightside Registry";2014-02-05T16:00:00Z;2099-12-31T23:59:59Z;
GA;singles;;"Fern Madison, LLC";"Donuts Inc.";"Rightside Registry";2014-02-05T16:00:00Z;2099-12-31T23:59:59Z;
GA;ventures;;"Binky Lake, LLC";"Donuts Inc.";"Rightside Registry";2014-02-05T16:00:00Z;2099-12-31T23:59:59Z;
SR;dance;;"Rightside Registry";;"Rightside Registry";2014-02-05T17:00:00Z;2014-04-07T17:00:00Z;
SR;democrat;;"Rightside Registry";;"Rightside Registry";2014-02-05T17:00:00Z;2014-04-07T17:00:00Z;
SR;rich;;"I-REGISTRY Ltd., Niederlassung Deutschland";;"Afilias Limited";2014-02-06T16:00:00Z;2014-04-07T16:00:00Z;
OT;ruhr;;"regiodot GmbH & Co. KG";;"Knipp Medien und Kommunikation GmbH";2014-02-08T00:00:00Z;2014-03-03T00:00:00Z;
