name,repository
aws-s3,https://github.com/marcel/aws-s3
hamlit,https://github.com/k0kubun/hamlit
aws-sdk-resources,https://github.com/aws/aws-sdk-ruby
asset_sync,https://github.com/AssetSync/asset_sync
turnip,https://github.com/jnicklas/turnip
mixlib-log,https://github.com/chef/mixlib-log
enumerize,https://github.com/brainspec/enumerize
serialport,https://github.com/hparra/ruby-serialport
ast,https://github.com/whitequark/ast
arbre,https://github.com/activeadmin/arbre
journey,https://github.com/rails/journey
rails-html-sanitizer,https://github.com/rails/rails-html-sanitizer
haml_coffee_assets,https://github.com/emilioforrer/haml_coffee_assets
ruby-debug19,https://github.com/mark-moseley/ruby-debug
exifr,https://github.com/remvee/exifr
amqp,https://github.com/ruby-amqp/amqp
gyoku,https://github.com/savonrb/gyoku
naught,https://github.com/avdi/naught
ancestry,https://github.com/stefankroes/ancestry
embulk,https://github.com/embulk/embulk
awesome_nested_set,https://github.com/collectiveidea/awesome_nested_set
message_bus,https://github.com/SamSaffron/message_bus
encryptor,https://github.com/attr-encrypted/encryptor
curses,https://github.com/ruby/curses
capybara-screenshot,https://github.com/mattheworiordan/capybara-screenshot
nori,https://github.com/savonrb/nori
danger,https://github.com/danger/danger
beaker-rspec,https://github.com/puppetlabs/beaker-rspec
squeel,https://github.com/activerecord-hackery/squeel
fog-json,https://github.com/fog/fog-json
deep_merge,https://github.com/danielsdeleo/deep_merge
guard-cucumber,https://github.com/guard/guard-cucumber
puppetlabs_spec_helper,https://github.com/puppetlabs/puppetlabs_spec_helper
guard-coffeescript,https://github.com/netzpirat/guard-coffeescript
globalize,https://github.com/globalize/globalize
multi_xml,https://github.com/sferik/multi_xml
autotest-fsevent,https://github.com/svoop/autotest-fsevent
grape-swagger,https://github.com/ruby-grape/grape-swagger
github-linguist,https://github.com/github/linguist
less,https://github.com/cowboyd/less.rb
grape-entity,https://github.com/ruby-grape/grape-entity
chefspec,https://github.com/sethvargo/chefspec
kitchen-vagrant,https://github.com/test-kitchen/kitchen-vagrant
rollbar,https://github.com/rollbar/rollbar-gem
blacklight,https://github.com/projectblacklight/blacklight
rdf,https://github.com/ruby-rdf/rdf
specinfra,https://github.com/mizzy/specinfra
ethon,https://github.com/typhoeus/ethon
money,https://github.com/RubyMoney/money
rack-attack,https://github.com/kickstarter/rack-attack
syntax,https://github.com/dblock/syntax
jekyll-feed,https://github.com/jekyll/jekyll-feed
